TIME	20170603_W01	20170603_W02	20170603_W03	20170603_W05	20170603_W06	20170605_W06	20170605_W07	20170605_W08	20170605_W09	20170605_W10	20170605_W11	20180415_780_W06	20180415_780_W07	20180415_780_W08	20180415_780_W09	20180415_780_W10	20180421_DB_W07	20180421_DB_W08	20180421_DB_W09	20180421_DB_W10	20180421_DB_W11	20180421_DB_W12	20180421_NLO_W05	20180421_NLO_W06	20180421_NLO_W08	20180422_780_W06	20180422_780_W07	20180422_780_W08	20180422_780_W09	20180429_DB_W06	20180429_DB_W08	20180505_780_W05	20180505_780_W06	20180505_780_W07
0	4184.081	4141.489	3973.614	3997.025	3892.423	1355.577	1262.191	1368.74	1182.096	1524.7	1193.241	1771.354	2073.374	2036.863	814.941	1693.955	895.337	1029.482	1113.915	1262.498	1197.725	1985.905	2417.594	1405.59	2094.9	1162.33	1600.406	1054.319	2151.831	1338.36	2497.326	1957.298	1084.811	889.154
1	4226.149	4119.377	4018.002	4040.204	3926.989	1325.522	1259.888	1366.896	1182.489	1575.684	1222.11	1870.152	2211.189	2171.67	812.804	1765.113	914.084	1033.707	1167.39	1239.173	1160.952	2046.791	2434.604	1416.231	2121.4	1206.381	1683.523	1030.436	2263.057	1323.561	2545.408	1995.228	1131.249	909.923
2	4278.135	4108.572	4026.871	4101.75	3973.872	1340.68	1255.927	1372.411	1194.797	1650.085	1245.089	1989.504	2393.25	2307.563	832.242	1895.386	920.803	1035.643	1235.221	1229.218	1184.457	2143.041	2466.574	1403.282	2163.883	1261.249	1820.134	1013.477	2315.836	1327.354	2642.087	2036.796	1155.509	942.534
3	4299.339	4099.761	4053.185	4139.219	3998.585	1346.479	1267.79	1374.999	1207.829	1757.044	1258.342	2094.027	2570.828	2409.646	855.775	1979.496	941.238	1048.896	1292.281	1270.624	1318.724	2248.95	2588.672	1418.422	2288.015	1310.46	1983.036	1025.833	2356.015	1358.961	2765.328	2009.256	1157.237	946.541
4	4310.743	4092.288	4063.468	4183.089	4054.267	1357.732	1273.943	1382.88	1222.117	1838.949	1262.129	2187.945	2696.78	2515.162	867.323	2036.818	946.746	1061.557	1369.053	1328.989	1454.538	2377.869	2643.589	1431.232	2486.352	1383.846	2194.731	1026.723	2420.272	1386.676	2889.85	2038.872	1178.485	964.241
5	4288.917	4067.327	4066.159	4198.463	4117.984	1370.735	1282.071	1409.08	1243.161	1936.488	1256.565	2289.242	2850.325	2666.235	870.666	2126.762	964.714	1076.821	1429.747	1447.314	1571.85	2513.271	2804.009	1403.69	2658.46	1417.257	2430.354	1020.305	2472.966	1424.429	3009.375	2046.187	1176.203	1008.003
6	4297.79	4078.679	4079.284	4210.78	4173.952	1420.515	1304.423	1453.791	1265.405	2001.635	1260.399	2345.211	2892.089	2749.389	853.37	2189.24	999.756	1098.121	1493.358	1575.13	1698.496	2614.362	3076.058	1447.756	2889.033	1469.942	2605.628	1033.101	2556.454	1465.63	3139.949	2090.581	1145.933	1046.811
7	4308.199	4125.963	4067.023	4208.75	4244.119	1480.617	1321.519	1508.396	1292.713	2103.195	1253.474	2478.815	3003.356	2871.506	854.438	2417.803	1013.247	1099.464	1552.369	1694.998	1810.118	2683.022	3327.788	1446.684	3135.11	1547.366	2728.948	1074.262	2735.56	1500.954	3251.255	2244.323	1157.237	1095.203
8	4279.062	4160.305	4045.275	4211.168	4316.837	1548.811	1363.904	1573.231	1304.725	2214.513	1252.298	2572.744	2984.303	2894.066	848.143	2657.095	1059.47	1094.331	1614.482	1838.717	1897.645	2750.827	3667.647	1482.122	3366.914	1600.61	2781.124	1105.932	2905.942	1533.013	3347.042	2352.935	1128.203	1105.191
9	4310.376	4259.5	4042.544	4195.397	4404.56	1620.808	1401.792	1627.501	1310.722	2337.802	1287.527	2762.544	3094.451	3024.827	847.041	3018.081	1120.264	1057.369	1687.512	1935.867	2007.08	2845.562	4092.777	1521.952	3603.14	1663.943	2825.207	1131.816	3189.953	1556.15	3473.702	2603.47	1139.057	1112.394
